id,issue_type,latitude,longitude,ward,date,severity,status,resolution_days,rainfall_mm,traffic_density,population_density,affected_population,trust_score,priority_score,verification_count,economic_impact_inr
ISS-00082,road_damage,13.047968,77.60879,Hebbal,2024-01-18,low,verified,,0,49.8,11000,337,70,92,29,15367
ISS-00083,water_leakage,13.020658,77.603339,Hebbal,2024-05-14,critical,verified,,0,45.1,11000,895,49,69,13,46933
ISS-00084,road_damage,13.118648,77.581364,Yelahanka,2023-12-08,high,in_progress,,0,30.2,8000,535,92,98,12,5981
ISS-00085,streetlight,12.893872,77.590321,JP Nagar,2024-01-14,high,in_progress,,0,77.8,16000,680,58,39,1,23743
ISS-00086,construction_hazard,12.902807,77.639587,HSR Layout,2023-08-22,medium,in_progress,,0,76.1,14000,684,92,50,27,32733
ISS-00087,road_damage,12.901985,77.573136,JP Nagar,2025-04-21,medium,in_progress,,0,99.7,16000,716,58,73,13,37181
ISS-00088,flooding,13.002601,77.573164,Rajajinagar,2023-07-15,medium,reported,,0,95.5,19000,314,80,36,28,5278
ISS-00089,streetlight,13.038806,77.6142,Hebbal,2023-07-16,low,in_progress,,40.7,45.3,11000,101,75,23,18,5695
ISS-00090,pothole,12.944969,77.639378,Koramangala,2025-01-12,critical,in_progress,,0,94.3,18000,1769,73,84,13,32721
ISS-00091,garbage,12.984311,77.762809,Whitefield,2023-10-10,high,verified,,0,52.2,12000,92,40,95,11,1254
ISS-00092,water_leakage,12.923819,77.58125,Jayanagar,2023-09-26,low,reported,,38.2,92.8,20000,661,90,48,6,21207
ISS-00093,pothole,12.906564,77.581959,Bannerghatta,2024-12-12,low,verified,,0,45.8,7000,192,83,97,18,2855
ISS-00094,streetlight,12.976457,77.690961,Marathahalli,2024-01-20,high,verified,,0,85.0,16000,858,75,97,30,25416
ISS-00095,streetlight,12.913064,77.662318,HSR Layout,2024-09-11,high,verified,,0,75.9,14000,840,51,64,25,32023
ISS-00096,pothole,12.929273,77.627878,Koramangala,2024-03-11,medium,reported,,0,100,18000,416,78,59,28,5185
ISS-00097,open_manhole,12.94842,77.701783,Marathahalli,2023-09-23,medium,reported,,0,85.9,16000,421,76,70,19,15955
ISS-00098,road_damage,12.959662,77.678216,Marathahalli,2025-05-14,low,in_progress,,0,88.5,16000,619,67,96,2,33181
ISS-00099,flooding,13.000827,77.553115,Rajajinagar,2023-04-01,critical,in_progress,,0,100,19000,453,78,33,0,23423
ISS-00100,pothole,12.916859,77.599622,BTM Layout,2025-02-05,critical,verified,,0,80.7,17000,1082,56,40,2,33861
ISS-00101,road_damage,12.963825,77.543227,Vijayanagar,2023-10-31,high,resolved,21,22.2,98.4,18000,1311,75,100,4,63249
ISS-00102,open_manhole,12.983523,77.758543,Whitefield,2024-05-29,low,resolved,112,0,75.0,12000,356,72,42,6,10806
ISS-00103,water_leakage,13.097972,77.613871,Yelahanka,2023-08-01,low,reported,,57.1,52.6,8000,342,65,84,7,7385
ISS-00104,road_damage,12.978504,77.759599,Whitefield,2024-01-27,low,verified,,0,53.8,12000,290,52,70,9,13482
ISS-00105,open_manhole,12.979103,77.734064,Whitefield,2024-05-25,low,in_progress,,0,61.4,12000,245,44,92,21,6576
ISS-00106,flooding,12.966068,77.731948,Whitefield,2024-07-14,low,verified,,73.3,69.8,12000,136,66,40,7,2475
ISS-00107,flooding,12.933178,77.616257,BTM Layout,2023-03-28,low,reported,,0,90.3,17000,513,81,85,12,19872
ISS-00108,open_manhole,12.95162,77.732406,Whitefield,2023-11-02,medium,in_progress,,0,60.9,12000,251,94,97,15,8402
ISS-00109,water_leakage,12.961232,77.691535,Marathahalli,2024-04-15,medium,reported,,0,98.2,16000,132,59,42,16,7674
ISS-00110,flooding,12.943651,77.611347,Koramangala,2023-09-16,medium,reported,,0,100,18000,604,47,43,16,11874
ISS-00111,road_damage,12.972285,77.678461,Marathahalli,2024-03-21,critical,verified,,0,70.5,16000,914,87,51,12,46770
ISS-00112,garbage,12.896975,77.56872,JP Nagar,2023-06-04,medium,in_progress,,0,71.9,16000,744,82,35,2,43020
ISS-00113,garbage,12.966052,77.706523,Marathahalli,2025-03-05,medium,resolved,48,0,75.8,16000,557,78,81,20,9985
ISS-00114,water_leakage,13.043213,77.588905,Hebbal,2023-07-16,high,reported,,0,66.1,11000,655,89,85,13,11084
ISS-00115,water_leakage,13.015462,77.60175,Hebbal,2023-08-25,critical,reported,,0,45.8,11000,1009,83,81,0,55152
ISS-00116,water_leakage,12.917198,77.639888,Koramangala,2024-11-14,low,resolved,62,20.2,81.8,18000,526,50,84,2,13186
ISS-00117,streetlight,12.85082,77.665179,Electronic City,2023-05-31,low,verified,,0,61.5,9000,69,74,97,4,1257
ISS-00118,construction_hazard,12.946387,77.570941,Jayanagar,2025-01-13,high,resolved,5,0,100,20000,475,66,55,27,20670
ISS-00119,water_leakage,13.030992,77.608369,Hebbal,2024-12-01,critical,in_progress,,0,56.4,11000,487,46,22,3,7303
ISS-00120,flooding,12.918913,77.585366,Jayanagar,2024-05-24,critical,reported,,0,100,20000,1998,55,88,15,68171
ISS-00121,garbage,13.023032,77.59979,Hebbal,2023-10-13,low,in_progress,,25.0,46.0,11000,384,70,53,16,16232
ISS-00122,water_leakage,12.895323,77.569183,JP Nagar,2023-01-22,critical,in_progress,,0,93.6,16000,933,74,67,5,9624
ISS-00123,water_leakage,13.091327,77.58392,Yelahanka,2023-10-17,low,verified,,0,47.3,8000,365,44,98,23,8165
ISS-00124,flooding,12.83776,77.689163,Electronic City,2024-07-01,low,reported,,64.9,45.4,9000,445,43,100,0,20394
ISS-00125,garbage,12.905079,77.598394,JP Nagar,2023-04-03,low,in_progress,,0,98.3,16000,533,50,42,16,11720
ISS-00126,water_leakage,12.908847,77.611469,Bannerghatta,2024-11-21,high,in_progress,,0,41.4,7000,345,67,66,3,15640
ISS-00127,garbage,12.924169,77.628969,Koramangala,2024-09-21,high,reported,,0,97.0,18000,1144,42,83,13,30552
ISS-00128,water_leakage,12.992345,77.568696,Rajajinagar,2024-03-29,critical,in_progress,,0,100,19000,621,67,21,28,18613
ISS-00129,pothole,13.042731,77.614125,Hebbal,2024-05-21,high,resolved,15,0,47.8,11000,699,52,74,20,38734
ISS-00130,water_leakage,12.994036,77.557333,Rajajinagar,2023-08-24,medium,verified,,0,100,19000,418,43,50,21,21464
ISS-00131,construction_hazard,13.016517,77.562533,Malleswaram,2025-04-11,medium,reported,,0,100,22000,623,69,57,25,19082
ISS-00132,construction_hazard,12.88866,77.575665,JP Nagar,2023-01-28,medium,in_progress,,0,98.7,16000,130,93,49,16,1734
ISS-00133,streetlight,13.118684,77.593228,Yelahanka,2024-05-08,medium,in_progress,,0,59.8,8000,239,81,22,28,12173
ISS-00134,road_damage,12.832976,77.661688,Electronic City,2024-05-19,medium,resolved,60,0,61.4,9000,380,66,66,7,12325
ISS-00135,flooding,12.879499,77.60576,Bannerghatta,2023-02-03,high,resolved,11,0,41.2,7000,277,46,49,1,8675
ISS-00136,flooding,12.981155,77.551722,Vijayanagar,2023-03-02,low,in_progress,,0,94.3,18000,553,48,26,30,7548
ISS-00137,streetlight,13.007089,77.544192,Rajajinagar,2024-02-02,high,resolved,20,0,100,19000,875,69,89,20,41116
ISS-00138,open_manhole,12.906423,77.643261,HSR Layout,2023-11-17,high,in_progress,,57.5,75.3,14000,705,82,26,25,36496
ISS-00139,flooding,12.948248,77.694379,Marathahalli,2023-11-21,medium,verified,,28.9,88.2,16000,501,41,66,22,22410
ISS-00140,water_leakage,12.897993,77.649954,HSR Layout,2025-05-25,low,reported,,0,81.4,14000,141,47,32,30,6854
ISS-00141,road_damage,13.049341,77.615485,Hebbal,2023-09-13,medium,reported,,0,55.0,11000,282,82,39,24,12709
ISS-00142,water_leakage,12.910162,77.613025,BTM Layout,2024-04-04,critical,in_progress,,0,82.2,17000,1348,52,35,6,52246
ISS-00143,road_damage,13.010766,77.549282,Rajajinagar,2024-08-11,critical,resolved,3,20.6,87.2,19000,1354,74,23,1,41649
ISS-00144,pothole,13.030049,77.614349,Hebbal,2023-07-17,high,reported,,20.1,54.5,11000,268,72,31,6,10946
ISS-00145,open_manhole,12.924712,77.639463,Koramangala,2024-08-12,medium,verified,,0,95.6,18000,779,64,59,10,28650
ISS-00146,pothole,12.977984,77.62128,Indiranagar,2024-07-04,low,reported,,0,86.8,15000,688,59,23,10,8287
ISS-00147,open_manhole,12.921073,77.643143,Koramangala,2023-08-25,critical,verified,,26.9,97.4,18000,1302,42,54,2,61461
ISS-00148,garbage,12.961774,77.694824,Marathahalli,2023-01-07,low,in_progress,,0,86.4,16000,351,41,49,24,8639
ISS-00149,open_manhole,12.896705,77.591266,JP Nagar,2023-02-22,high,verified,,0,89.3,16000,613,48,96,17,26661
ISS-00150,flooding,13.004711,77.58815,Malleswaram,2023-09-23,medium,in_progress,,22.0,100,22000,326,57,75,10,10816
ISS-00151,flooding,12.902249,77.658462,HSR Layout,2025-04-11,medium,in_progress,,0,87.5,14000,189,86,35,0,8555
ISS-00152,open_manhole,12.899979,77.629602,HSR Layout,2024-11-03,low,in_progress,,0,74.4,14000,218,69,59,22,7162
ISS-00153,flooding,12.973673,77.767453,Whitefield,2023-07-20,medium,resolved,36,0,57.5,12000,361,92,58,20,8279
ISS-00154,flooding,13.019684,77.56532,Malleswaram,2023-12-31,high,resolved,21,0,100,22000,166,53,30,4,2461
ISS-00155,water_leakage,13.050303,77.614172,Hebbal,2023-06-11,medium,verified,,27.2,68.1,11000,315,48,88,4,15806
ISS-00156,streetlight,12.889286,77.634052,HSR Layout,2025-01-23,low,in_progress,,0,67.8,14000,242,80,61,4,11474
ISS-00157,flooding,12.837197,77.669685,Electronic City,2025-02-03,low,resolved,22,0,54.0,9000,396,76,59,15,11759
ISS-00158,road_damage,12.977945,77.679233,Marathahalli,2023-12-05,high,in_progress,,0,72.0,16000,537,64,96,18,7480
ISS-00159,construction_hazard,12.901145,77.571458,JP Nagar,2025-02-05,medium,in_progress,,0,70.4,16000,163,91,74,8,6011
ISS-00160,garbage,12.995255,77.623706,Indiranagar,2024-05-01,high,in_progress,,0,73.9,15000,725,43,24,18,27869
ISS-00161,flooding,12.928788,77.585681,Jayanagar,2024-11-01,medium,verified,,75.2,100,20000,529,47,48,29,17090
ISS-00162,road_damage,12.978255,77.518661,Vijayanagar,2023-05-01,low,reported,,0,95.6,18000,639,82,20,27,34950
ISS-00163,flooding,12.961642,77.732341,Whitefield,2023-02-20,low,in_progress,,0,78.4,12000,414,90,74,19,8899
ISS-00164,construction_hazard,13.003005,77.588477,Malleswaram,2023-08-25,low,in_progress,,69.7,100,22000,1031,88,42,25,58778
ISS-00165,flooding,12.822505,77.696007,Electronic City,2023-12-05,medium,reported,,0,50.1,9000,351,68,76,21,11919
ISS-00166,flooding,12.975223,77.54104,Vijayanagar,2023-05-28,medium,in_progress,,0,93.5,18000,881,74,35,18,35462
ISS-00167,flooding,12.992918,77.585097,Malleswaram,2023-12-15,medium,verified,,0,100,22000,808,44,61,24,10386
ISS-00168,open_manhole,12.882611,77.597305,Bannerghatta,2024-01-02,high,reported,,0,39.2,7000,133,55,93,5,4966
ISS-00169,garbage,12.988938,77.648582,Indiranagar,2025-05-29,low,reported,,0,79.2,15000,187,45,100,15,7050
ISS-00170,construction_hazard,12.974279,77.753686,Whitefield,2024-08-04,medium,in_progress,,25.1,57.4,12000,116,50,44,17,4391
ISS-00171,flooding,13.085615,77.601807,Yelahanka,2023-10-28,critical,verified,,72.8,46.3,8000,154,54,85,25,7677
ISS-00172,pothole,12.948757,77.64075,Koramangala,2023-06-01,high,in_progress,,0,91.8,18000,1221,54,49,1,36228
ISS-00173,pothole,12.979654,77.748256,Whitefield,2023-08-01,medium,in_progress,,34.6,54.0,12000,477,62,33,27,26172
ISS-00174,flooding,13.112984,77.578464,Yelahanka,2024-02-15,low,reported,,0,50.1,8000,188,68,60,6,6512
ISS-00175,garbage,13.105903,77.615778,Yelahanka,2023-11-25,medium,verified,,39.1,37.6,8000,343,74,35,2,5890
ISS-00176,road_damage,13.00732,77.577223,Malleswaram,2025-04-06,high,in_progress,,0,100,22000,1409,58,60,10,19852
ISS-00177,flooding,12.937243,77.615901,Koramangala,2024-03-14,medium,reported,,0,89.0,18000,146,55,94,6,2185
ISS-00178,construction_hazard,13.094672,77.612092,Yelahanka,2024-08-15,high,verified,,32.3,51.1,8000,528,63,49,16,25380
ISS-00179,garbage,12.976397,77.5213,Vijayanagar,2023-03-10,high,resolved,6,0,96.1,18000,197,62,84,16,6445
ISS-00180,pothole,12.988405,77.576035,Malleswaram,2023-04-09,low,in_progress,,0,100,22000,439,63,53,2,18315
ISS-00181,pothole,12.987153,77.557448,Malleswaram,2023-10-02,medium,reported,,12.1,100,22000,675,51,58,3,35532
ISS-00182,flooding,12.985685,77.551033,Vijayanagar,2024-11-15,medium,in_progress,,24.7,100,18000,849,67,42,26,35224
ISS-00183,construction_hazard,12.959826,77.630337,Indiranagar,2024-03-04,medium,reported,,0,90.9,15000,209,71,85,5,7915
ISS-00184,pothole,12.843591,77.661723,Electronic City,2024-12-09,low,resolved,105,0,39.8,9000,230,60,79,20,10698
ISS-00185,flooding,12.985632,77.632841,Indiranagar,2024-09-27,high,reported,,29.8,80.5,15000,783,79,36,15,27178
ISS-00186,road_damage,12.955343,77.534909,Vijayanagar,2023-07-09,high,in_progress,,0,100,18000,561,55,20,18,32044
ISS-00187,construction_hazard,12.892956,77.572083,JP Nagar,2024-03-05,medium,resolved,29,0,87.5,16000,357,58,66,4,15094
ISS-00188,open_manhole,12.894315,77.585029,Bannerghatta,2025-03-30,high,verified,,0,29.0,7000,352,56,37,15,20787
ISS-00189,pothole,12.96482,77.741105,Whitefield,2023-08-20,medium,verified,,69.9,57.9,12000,115,47,75,9,5035
ISS-00190,road_damage,12.945396,77.692989,Marathahalli,2025-02-21,high,resolved,20,0,82.6,16000,1088,55,99,11,63938
ISS-00191,open_manhole,12.973995,77.537172,Rajajinagar,2023-05-12,medium,in_progress,,0,100,19000,670,74,77,22,18011
ISS-00192,road_damage,12.982624,77.569147,Rajajinagar,2023-07-30,critical,in_progress,,0,94.6,19000,882,88,25,21,45353
ISS-00193,streetlight,13.010037,77.575029,Malleswaram,2023-11-16,medium,in_progress,,0,100,22000,695,92,73,13,27060
ISS-00194,pothole,13.108507,77.592377,Yelahanka,2025-04-05,medium,verified,,0,59.2,8000,121,56,70,19,4719
ISS-00195,garbage,13.00774,77.561772,Malleswaram,2024-01-14,high,resolved,17,0,100,22000,457,64,77,15,13663
ISS-00196,road_damage,12.995345,77.55446,Rajajinagar,2024-06-02,medium,verified,,46.1,100,19000,752,78,33,29,20954
ISS-00197,water_leakage,12.964477,77.643072,Indiranagar,2024-10-26,medium,reported,,0,73.8,15000,577,59,64,7,18180
ISS-00198,flooding,12.986094,77.514443,Vijayanagar,2023-01-16,low,in_progress,,0,100,18000,615,41,26,8,14284
ISS-00199,pothole,12.918327,77.59955,Jayanagar,2025-04-05,critical,in_progress,,0,97.7,20000,507,71,53,5,21175
ISS-00200,water_leakage,13.111856,77.578006,Yelahanka,2023-12-21,critical,reported,,0,33.9,8000,479,91,89,4,14465
ISS-00201,road_damage,12.976134,77.526888,Vijayanagar,2023-10-19,medium,in_progress,,23.5,100,18000,339,41,62,17,11381
ISS-00202,construction_hazard,12.853179,77.676547,Electronic City,2023-01-03,low,verified,,0,58.0,9000,327,83,31,16,13261
ISS-00203,streetlight,13.007767,77.561657,Rajajinagar,2023-08-25,medium,reported,,46.2,92.9,19000,576,68,75,12,30901
ISS-00204,garbage,12.836152,77.659253,Electronic City,2025-03-19,medium,resolved,26,0,60.6,9000,316,54,26,8,16877
ISS-00205,construction_hazard,12.963921,77.653035,Indiranagar,2025-01-24,high,in_progress,,0,89.8,15000,402,43,71,9,12184
ISS-00206,open_manhole,13.095005,77.614752,Yelahanka,2025-05-05,medium,in_progress,,0,45.8,8000,77,86,86,13,4241
ISS-00207,open_manhole,12.978027,77.706794,Marathahalli,2024-07-06,medium,in_progress,,23.1,87.8,16000,406,65,88,8,8113
ISS-00208,road_damage,12.949899,77.599691,Jayanagar,2024-07-25,low,in_progress,,75.9,97.2,20000,640,78,74,14,7959
ISS-00209,streetlight,12.986639,77.556026,Malleswaram,2025-04-09,low,in_progress,,0,100,22000,288,53,99,19,11643
ISS-00210,construction_hazard,13.095872,77.581825,Yelahanka,2024-02-19,high,reported,,0,53.0,8000,413,79,99,17,7059
ISS-00211,open_manhole,13.106582,77.578595,Yelahanka,2023-09-07,critical,in_progress,,51.0,52.4,8000,579,64,21,19,21620
ISS-00212,flooding,12.987977,77.566351,Malleswaram,2023-12-14,low,in_progress,,0,100,22000,456,78,80,10,12983
ISS-00213,flooding,12.978299,77.767579,Whitefield,2024-12-20,medium,verified,,0,74.4,12000,452,76,61,21,10581
ISS-00214,open_manhole,13.007821,77.538753,Rajajinagar,2023-03-15,high,in_progress,,0,100,19000,1422,87,85,24,56632
ISS-00215,road_damage,12.917748,77.630876,HSR Layout,2024-02-25,medium,in_progress,,0,78.2,14000,600,45,59,20,18443
ISS-00216,water_leakage,12.966987,77.637927,Indiranagar,2023-11-06,medium,reported,,19.3,75.0,15000,215,71,79,11,7503
ISS-00217,pothole,12.96849,77.642918,Indiranagar,2023-06-06,medium,verified,,0,93.1,15000,721,53,92,20,25031
